Timestamp,Vehicle1,Vehicle2,TTC,Distance,Severity
00:18.3,11,16,0.81,15.53,HIGH
00:18.4,11,16,0.70,13.68,HIGH
00:18.5,11,16,0.59,11.83,HIGH
00:18.6,11,16,0.49,9.99,HIGH
00:18.6,11,16,0.40,8.23,HIGH
00:18.8,11,16,0.31,6.55,HIGH
00:18.9,11,16,0.21,5.01,HIGH
00:19.0,11,16,0.11,3.79,HIGH
00:19.1,11,16,0.01,3.21,HIGH
00:19.4,0,2,1.55,28.82,MEDIUM
00:19.4,1,8,2.75,12.83,LOW
00:19.5,0,2,1.52,27.06,MEDIUM
00:19.5,1,8,2.12,12.17,LOW
00:19.6,0,2,1.50,25.39,MEDIUM
00:19.6,1,8,1.63,11.44,MEDIUM
00:19.7,0,2,1.49,23.80,MEDIUM
00:19.7,1,8,1.33,10.73,MEDIUM
00:19.8,0,2,1.48,22.31,MEDIUM
00:19.8,1,8,1.07,10.05,MEDIUM
00:19.9,0,2,1.47,20.91,MEDIUM
00:19.9,1,8,0.94,9.38,HIGH
00:20.0,0,2,1.47,19.60,MEDIUM
00:20.0,1,8,0.77,8.60,HIGH
00:20.1,0,2,1.48,18.38,MEDIUM
00:20.1,1,8,0.65,7.81,HIGH
00:20.2,0,2,1.49,17.25,MEDIUM
00:20.2,1,8,0.55,7.00,HIGH
00:20.3,0,2,1.52,16.21,MEDIUM
00:20.3,1,8,0.45,6.17,HIGH
00:20.4,0,2,1.56,15.26,MEDIUM
00:20.4,1,8,0.35,5.35,HIGH
00:20.5,0,2,1.60,14.39,MEDIUM
00:20.5,1,8,0.26,4.57,HIGH
00:20.6,0,2,1.59,13.57,MEDIUM
00:20.6,1,8,0.17,3.88,HIGH
00:20.7,0,2,1.58,12.79,MEDIUM
00:20.7,1,8,0.07,3.38,HIGH
00:20.8,0,2,1.58,12.06,MEDIUM
00:20.9,0,2,1.58,11.38,MEDIUM
00:21.0,0,2,1.59,10.74,MEDIUM
00:21.1,0,2,1.49,10.14,MEDIUM
00:21.2,0,2,1.38,9.55,MEDIUM
00:21.3,0,2,1.26,8.96,MEDIUM
00:21.4,0,2,1.16,8.44,MEDIUM
00:21.5,0,2,1.03,8.06,MEDIUM
00:21.6,0,2,0.88,7.71,HIGH
00:21.7,0,2,0.71,7.46,HIGH
00:21.8,0,2,0.52,7.52,HIGH
00:21.9,0,2,0.30,7.63,HIGH
00:22.0,0,2,0.07,7.80,HIGH
00:22.1,17,9,1.30,28.73,MEDIUM
00:22.2,17,9,1.18,26.51,MEDIUM
00:22.3,17,9,1.07,24.27,MEDIUM
00:22.4,17,9,0.96,22.02,HIGH
00:22.5,17,9,0.85,19.75,HIGH
00:22.6,17,9,0.74,17.47,HIGH
00:22.7,17,9,0.64,15.19,HIGH
00:22.8,17,9,0.53,12.90,HIGH
00:22.9,10,15,1.37,29.58,MEDIUM
00:22.9,17,9,0.43,10.63,HIGH
00:23.0,10,15,1.23,28.69,MEDIUM
00:23.0,17,9,0.33,8.39,HIGH
00:23.1,10,15,1.10,27.82,MEDIUM
00:23.1,17,9,0.22,6.24,HIGH
00:23.2,10,15,0.96,26.92,HIGH
00:23.2,17,9,0.12,4.35,HIGH
00:23.3,10,15,0.84,26.10,HIGH
00:23.3,17,9,0.02,3.24,HIGH
00:23.4,10,15,0.71,25.35,HIGH
00:23.5,10,15,0.59,24.73,HIGH
00:23.6,10,15,0.46,24.25,HIGH
00:23.7,10,15,0.33,23.89,HIGH
00:23.8,10,15,0.19,23.67,HIGH
00:23.9,10,15,0.05,23.58,HIGH
00:25.2,15,17,1.60,28.50,MEDIUM
00:25.3,15,17,1.54,26.78,MEDIUM
00:25.4,15,17,1.52,25.14,MEDIUM
00:25.5,15,17,1.51,23.59,MEDIUM
00:25.6,15,17,1.50,22.13,MEDIUM
00:25.7,15,17,1.50,20.76,MEDIUM
00:25.7,25,9,2.03,29.86,LOW
00:25.8,15,17,1.50,19.48,MEDIUM
00:25.8,25,9,1.90,28.91,MEDIUM
00:25.9,15,17,1.51,18.29,MEDIUM
00:25.9,25,9,1.77,28.00,MEDIUM
00:26.0,15,17,1.53,17.19,MEDIUM
00:26.0,25,9,1.64,27.12,MEDIUM
00:26.1,15,17,1.56,16.19,MEDIUM
00:26.1,25,9,1.50,26.27,MEDIUM
00:26.2,15,17,1.61,15.27,MEDIUM
00:26.2,25,9,1.38,25.46,MEDIUM
00:26.3,15,17,1.64,14.42,MEDIUM
00:26.3,25,9,1.26,24.73,MEDIUM
00:26.4,15,17,1.61,13.60,MEDIUM
00:26.4,25,9,1.15,24.08,MEDIUM
00:26.5,15,17,1.61,12.84,MEDIUM
00:26.5,25,9,1.04,23.52,MEDIUM
00:26.6,15,17,1.60,12.11,MEDIUM
00:26.6,25,9,0.92,23.04,HIGH
00:26.7,15,17,1.61,11.44,MEDIUM
00:26.7,25,9,0.80,22.64,HIGH
00:26.8,15,17,1.62,10.81,MEDIUM
00:26.8,25,9,0.67,22.32,HIGH
00:26.9,15,17,1.61,10.24,MEDIUM
00:26.9,25,9,0.51,22.08,HIGH
00:27.0,15,17,1.52,9.69,MEDIUM
00:27.0,25,9,0.34,21.93,HIGH
00:27.1,15,17,1.41,9.15,MEDIUM
00:27.1,25,9,0.15,21.86,HIGH
00:27.2,15,17,1.29,8.61,MEDIUM
00:27.3,15,17,1.16,8.23,MEDIUM
00:27.3,22,23,1.53,28.95,MEDIUM
00:27.4,15,17,1.02,7.89,MEDIUM
00:27.4,22,23,1.39,27.04,MEDIUM
00:27.5,15,17,0.87,7.58,HIGH
00:27.5,22,23,1.27,25.09,MEDIUM
00:27.6,15,17,0.69,7.48,HIGH
00:27.6,20,7,1.08,29.44,MEDIUM
00:27.6,22,23,1.14,23.10,MEDIUM
00:27.7,15,17,0.49,7.55,HIGH
00:27.7,20,7,0.99,28.18,HIGH
00:27.7,21,26,1.72,28.42,MEDIUM
00:27.7,22,23,1.02,21.08,MEDIUM
00:27.8,15,17,0.27,7.66,HIGH
00:27.8,20,7,0.88,27.03,HIGH
00:27.8,21,26,1.58,26.75,MEDIUM
00:27.8,22,23,0.90,19.02,HIGH
00:27.9,15,17,0.03,7.87,HIGH
00:27.9,20,7,0.78,26.00,HIGH
00:27.9,21,26,1.45,25.05,MEDIUM
00:27.9,22,23,0.79,16.94,HIGH
00:28.0,20,7,0.67,25.11,HIGH
00:28.0,21,26,1.32,23.32,MEDIUM
00:28.0,22,23,0.67,14.83,HIGH
00:28.1,20,7,0.56,24.35,HIGH
00:28.1,21,26,1.20,21.55,MEDIUM
00:28.1,22,23,0.56,12.69,HIGH
00:28.2,20,7,0.45,23.73,HIGH
00:28.2,21,26,1.07,19.76,MEDIUM
00:28.2,22,23,0.45,10.54,HIGH
00:28.3,11,16,1.73,29.65,MEDIUM
00:28.3,20,7,0.33,23.27,HIGH
00:28.3,21,26,0.96,17.95,HIGH
00:28.3,22,23,0.34,8.40,HIGH
00:28.4,11,16,1.57,27.86,MEDIUM
00:28.4,20,7,0.21,22.96,HIGH
00:28.4,21,26,0.85,16.13,HIGH
00:28.4,22,23,0.24,6.32,HIGH
00:28.5,11,16,1.42,26.05,MEDIUM
00:28.5,20,7,0.09,22.79,HIGH
00:28.5,21,26,0.75,14.30,HIGH
00:28.5,22,23,0.13,4.46,HIGH
00:28.6,11,16,1.30,24.22,MEDIUM
00:28.6,21,26,0.64,12.47,HIGH
00:28.6,22,23,0.03,3.28,HIGH
00:28.7,11,16,1.18,22.37,MEDIUM
00:28.7,21,26,0.53,10.63,HIGH
00:28.8,11,16,1.07,20.50,MEDIUM
00:28.8,21,26,0.42,8.81,HIGH
00:28.9,11,16,0.96,18.62,HIGH
00:28.9,21,26,0.32,7.03,HIGH
00:29.0,11,16,0.86,16.75,HIGH
00:29.0,21,26,0.22,5.35,HIGH
00:29.1,11,16,0.78,14.92,HIGH
00:29.1,21,26,0.12,3.95,HIGH
00:29.2,11,16,0.69,13.12,HIGH
00:29.2,21,26,0.02,3.22,HIGH
00:29.3,11,16,0.60,11.37,HIGH
00:29.4,11,16,0.51,9.67,HIGH
00:29.5,11,16,0.42,8.03,HIGH
00:29.6,11,16,0.32,6.47,HIGH
00:29.6,14,5,0.43,29.96,HIGH
00:29.7,11,16,0.23,5.06,HIGH
00:29.7,14,5,0.31,29.61,HIGH
00:29.8,11,16,0.13,3.90,HIGH
00:29.8,14,5,0.17,29.41,HIGH
00:29.9,11,16,0.03,3.25,HIGH
00:29.9,14,5,0.03,29.33,HIGH
00:30.7,20,3,2.55,16.82,LOW
00:30.8,20,3,1.75,16.68,MEDIUM
00:30.9,14,6,1.24,28.39,MEDIUM
00:30.9,20,3,1.52,16.54,MEDIUM
00:31.0,14,6,1.16,26.17,MEDIUM
00:31.0,20,3,1.30,16.30,MEDIUM
00:31.1,14,6,1.09,24.00,MEDIUM
00:31.1,20,3,0.74,15.97,HIGH
00:31.2,0,2,2.95,23.52,LOW
00:31.2,14,6,1.01,21.87,MEDIUM
00:31.2,20,3,0.44,15.71,HIGH
00:31.3,0,2,2.39,22.85,LOW
00:31.3,14,6,0.93,19.80,HIGH
00:31.3,20,3,0.19,15.53,HIGH
00:31.3,26,8,1.23,28.41,MEDIUM
00:31.4,0,2,1.86,21.96,MEDIUM
00:31.4,10,7,0.99,27.39,HIGH
00:31.4,14,6,0.84,17.78,HIGH
00:31.4,20,3,0.10,15.33,HIGH
00:31.4,26,8,1.11,26.10,MEDIUM
00:31.5,0,2,1.53,21.08,MEDIUM
00:31.5,10,7,0.89,24.67,HIGH
00:31.5,14,6,0.74,15.75,HIGH
00:31.5,20,3,0.02,15.07,HIGH
00:31.5,26,8,1.00,23.77,MEDIUM
00:31.6,0,2,1.29,20.22,MEDIUM
00:31.6,10,7,0.79,21.95,HIGH
00:31.6,14,6,0.63,13.75,HIGH
00:31.6,26,8,0.89,21.42,HIGH
00:31.7,0,2,1.12,19.41,MEDIUM
00:31.7,10,7,0.70,19.26,HIGH
00:31.7,26,8,0.78,19.05,HIGH
00:31.8,0,2,0.94,18.63,HIGH
00:31.8,10,7,0.59,16.57,HIGH
00:31.8,26,8,0.68,16.67,HIGH
00:31.9,0,2,0.78,17.95,HIGH
00:31.9,10,7,0.49,13.88,HIGH
00:31.9,26,8,0.57,14.28,HIGH
00:32.0,0,2,0.64,17.38,HIGH
00:32.0,10,7,0.40,11.25,HIGH
00:32.0,26,8,0.47,11.90,HIGH
00:32.1,0,2,0.51,16.92,HIGH
00:32.1,10,7,0.29,8.66,HIGH
00:32.1,26,8,0.36,9.53,HIGH
00:32.2,0,2,0.37,16.58,HIGH
00:32.2,10,7,0.19,6.21,HIGH
00:32.2,26,8,0.26,7.23,HIGH
00:32.3,0,2,0.23,16.36,HIGH
00:32.3,0,24,2.09,29.95,LOW
00:32.3,10,7,0.09,4.11,HIGH
00:32.3,26,8,0.16,5.09,HIGH
00:32.3,0,2,0.08,16.26,HIGH
00:32.3,0,24,2.03,28.58,LOW
00:32.3,26,8,0.06,3.50,HIGH
00:32.5,0,24,1.99,27.24,MEDIUM
00:32.6,0,24,1.93,25.92,MEDIUM
00:32.7,0,24,1.87,24.62,MEDIUM
00:32.7,11,25,1.19,29.35,MEDIUM
00:32.8,0,24,1.81,23.33,MEDIUM
00:32.8,11,25,1.07,28.35,MEDIUM
00:32.8,0,24,1.74,22.07,MEDIUM
00:32.8,11,25,0.95,27.40,HIGH
00:32.8,17,31,1.69,28.81,MEDIUM
00:33.0,0,24,1.66,20.82,MEDIUM
00:33.0,11,25,0.83,26.53,HIGH
00:33.0,17,31,1.56,27.10,MEDIUM
00:33.1,0,24,1.59,19.58,MEDIUM
00:33.1,11,25,0.71,25.73,HIGH
00:33.1,17,31,1.45,25.38,MEDIUM
00:33.1,26,33,2.10,26.93,LOW
00:33.2,0,24,1.51,18.37,MEDIUM
00:33.2,11,25,0.60,25.03,HIGH
00:33.2,17,31,1.33,23.64,MEDIUM
00:33.2,26,33,1.96,25.64,MEDIUM
00:33.3,0,24,1.43,17.18,MEDIUM
00:33.3,11,25,0.48,24.42,HIGH
00:33.3,17,31,1.22,21.88,MEDIUM
00:33.3,26,33,1.84,24.33,MEDIUM
00:33.3,0,24,1.33,16.00,MEDIUM
00:33.3,11,25,0.37,23.93,HIGH
00:33.3,17,31,1.11,20.11,MEDIUM
00:33.3,26,33,1.70,23.01,MEDIUM
00:33.5,0,24,1.24,14.85,MEDIUM
00:33.5,11,25,0.25,23.56,HIGH
00:33.5,17,31,0.99,18.31,HIGH
00:33.5,26,33,1.57,21.66,MEDIUM
00:33.6,0,24,1.14,13.72,MEDIUM
00:33.6,11,25,0.14,23.32,HIGH
00:33.6,17,31,0.88,16.50,HIGH
00:33.6,26,33,1.43,20.27,MEDIUM
00:33.7,0,24,1.03,12.62,MEDIUM
00:33.7,11,25,0.03,23.21,HIGH
00:33.7,17,31,0.77,14.68,HIGH
00:33.7,26,33,1.32,18.88,MEDIUM
00:33.8,0,24,0.92,11.55,HIGH
00:33.8,17,31,0.66,12.85,HIGH
00:33.8,26,33,1.20,17.47,MEDIUM
00:33.8,0,24,0.81,10.53,CRITICAL
00:33.8,17,31,0.56,11.03,HIGH
00:33.8,26,33,1.07,16.03,MEDIUM
00:33.8,27,32,1.68,28.70,MEDIUM
00:34.0,0,24,0.71,9.53,CRITICAL
00:34.0,17,31,0.45,9.22,HIGH
00:34.0,26,33,0.96,14.58,CRITICAL
00:34.0,27,32,1.56,27.00,MEDIUM
00:34.1,0,24,0.61,8.57,CRITICAL
00:34.1,17,31,0.35,7.44,HIGH
00:34.1,26,33,0.85,13.12,CRITICAL
00:34.1,27,32,1.45,25.29,MEDIUM
00:34.2,0,24,0.51,7.66,CRITICAL
00:34.2,17,31,0.25,5.75,HIGH
00:34.2,26,33,0.74,11.65,CRITICAL
00:34.2,27,32,1.34,23.56,MEDIUM
00:34.3,0,24,0.41,6.83,CRITICAL
00:34.3,17,31,0.14,4.25,HIGH
00:34.3,19,24,1.49,29.74,MEDIUM
00:34.3,26,33,0.62,10.17,HIGH
00:34.3,27,32,1.22,21.81,MEDIUM
00:34.3,0,24,0.31,6.10,CRITICAL
00:34.3,17,31,0.04,3.30,HIGH
00:34.3,19,24,1.37,28.74,MEDIUM
00:34.3,26,33,0.52,8.70,HIGH
00:34.3,27,32,1.11,20.04,MEDIUM
00:34.5,0,24,0.21,5.52,CRITICAL
00:34.5,19,24,1.28,27.81,MEDIUM
00:34.5,26,33,0.41,7.25,HIGH
00:34.5,27,32,1.00,18.27,HIGH
00:34.6,0,24,0.11,5.13,CRITICAL
00:34.6,19,24,1.16,26.94,MEDIUM
00:34.6,26,33,0.31,5.88,HIGH
00:34.6,27,32,0.88,16.47,HIGH
00:34.7,0,24,0.01,4.97,CRITICAL
00:34.7,15,31,1.47,29.83,MEDIUM
00:34.7,19,24,1.05,26.15,MEDIUM
00:34.7,26,33,0.22,4.65,HIGH
00:34.7,27,32,0.78,14.67,HIGH
00:34.8,15,31,1.35,27.80,MEDIUM
00:34.8,19,24,0.93,25.44,HIGH
00:34.8,26,33,0.12,3.69,HIGH
00:34.8,27,32,0.66,12.84,HIGH
00:34.8,15,31,1.23,25.74,MEDIUM
00:34.8,17,7,1.70,29.77,MEDIUM
00:34.8,19,24,0.82,24.80,HIGH
00:34.8,26,33,0.02,3.22,HIGH
00:34.8,27,32,0.56,11.02,HIGH
00:35.0,10,3,0.19,29.85,HIGH
00:35.0,15,31,1.12,23.67,MEDIUM
00:35.0,17,7,1.69,28.13,MEDIUM
00:35.0,19,24,0.70,24.25,HIGH
00:35.0,27,32,0.45,9.20,HIGH
00:35.1,10,3,0.08,29.68,HIGH
00:35.1,15,31,1.01,21.58,MEDIUM
00:35.1,16,7,2.19,29.50,LOW
00:35.1,17,7,1.69,26.57,MEDIUM
00:35.1,19,24,0.59,23.78,HIGH
00:35.1,27,32,0.34,7.41,HIGH
00:35.2,15,31,0.90,19.48,HIGH
00:35.2,16,7,2.13,28.20,LOW
00:35.2,17,7,1.69,25.11,MEDIUM
00:35.2,19,24,0.46,23.40,HIGH
00:35.2,27,32,0.24,5.70,HIGH
00:35.3,15,31,0.80,17.37,HIGH
00:35.3,16,17,1.86,28.47,MEDIUM
00:35.3,16,7,2.06,26.91,LOW
00:35.3,17,7,1.69,23.73,MEDIUM
00:35.3,19,24,0.33,23.12,HIGH
00:35.3,27,32,0.14,4.21,HIGH
00:35.3,15,31,0.68,15.23,HIGH
00:35.3,16,17,1.79,26.96,MEDIUM
00:35.3,16,7,1.99,25.63,MEDIUM
00:35.3,17,7,1.71,22.44,MEDIUM
00:35.3,19,24,0.22,22.92,HIGH
00:35.3,27,32,0.04,3.28,HIGH
00:35.5,15,31,0.58,13.10,HIGH
00:35.5,16,17,1.76,25.51,MEDIUM
00:35.5,16,7,1.98,24.40,MEDIUM
00:35.5,17,7,1.74,21.25,MEDIUM
00:35.5,19,24,0.10,22.81,HIGH
00:35.6,11,22,1.15,28.85,MEDIUM
00:35.6,15,31,0.47,10.96,HIGH
00:35.6,16,17,1.74,24.13,MEDIUM
00:35.6,16,7,1.97,23.17,MEDIUM
00:35.6,17,7,1.77,20.15,MEDIUM
00:35.6,21,3,1.04,28.92,MEDIUM
00:35.7,11,22,1.04,26.34,MEDIUM
00:35.7,15,31,0.37,8.84,HIGH
00:35.7,16,17,1.72,22.80,MEDIUM
00:35.7,16,7,1.92,21.89,MEDIUM
00:35.7,17,7,1.77,19.11,MEDIUM
00:35.7,21,3,0.93,26.14,HIGH
00:35.8,11,22,0.93,23.82,HIGH
00:35.8,15,31,0.27,6.79,HIGH
00:35.8,16,17,1.71,21.54,MEDIUM
00:35.8,16,7,1.90,20.69,MEDIUM
00:35.8,17,7,1.84,18.17,MEDIUM
00:35.8,21,3,0.81,23.32,HIGH
00:35.8,11,22,0.82,21.28,HIGH
00:35.8,15,31,0.17,4.93,HIGH
00:35.8,16,17,1.69,20.34,MEDIUM
00:35.8,16,7,1.88,19.56,MEDIUM
00:35.8,17,7,1.93,17.31,MEDIUM
00:35.8,21,3,0.70,20.47,HIGH
00:36.0,11,22,0.71,18.73,HIGH
00:36.0,15,31,0.07,3.55,HIGH
00:36.0,16,17,1.69,19.21,MEDIUM
00:36.0,16,7,1.87,18.51,MEDIUM
00:36.0,17,7,2.04,16.53,LOW
00:36.0,21,3,0.60,17.61,HIGH
00:36.1,11,22,0.61,16.18,HIGH
00:36.1,16,17,1.68,18.14,MEDIUM
00:36.1,16,7,1.87,17.54,MEDIUM
00:36.1,17,7,2.20,15.83,LOW
00:36.1,21,3,0.50,14.79,HIGH
00:36.1,26,35,0.74,11.89,HIGH
00:36.2,11,22,0.51,13.63,HIGH
00:36.2,16,17,1.68,17.13,MEDIUM
00:36.2,16,7,1.87,16.64,MEDIUM
00:36.2,17,7,2.42,15.22,LOW
00:36.2,21,3,0.40,11.97,HIGH
00:36.2,26,35,0.52,11.74,HIGH
00:36.3,11,22,0.40,11.09,HIGH
00:36.3,16,17,1.69,16.19,MEDIUM
00:36.3,16,7,1.87,15.83,MEDIUM
00:36.3,17,7,2.71,14.70,LOW
00:36.3,21,3,0.30,9.21,HIGH
00:36.3,26,35,0.32,11.64,HIGH
00:36.3,11,22,0.30,8.58,HIGH
00:36.3,16,17,1.70,15.31,MEDIUM
00:36.3,16,7,1.87,15.09,MEDIUM
00:36.3,21,3,0.20,6.57,HIGH
00:36.3,26,35,0.12,11.61,HIGH
00:36.5,11,22,0.20,6.18,HIGH
00:36.5,16,17,1.72,14.49,MEDIUM
00:36.5,16,7,1.89,14.40,MEDIUM
00:36.5,21,3,0.10,4.28,HIGH
00:36.6,11,22,0.10,4.12,HIGH
00:36.6,16,17,1.75,13.74,MEDIUM
00:36.6,16,7,1.91,13.76,MEDIUM
00:36.7,16,17,1.82,13.21,MEDIUM
00:36.7,16,7,1.94,13.16,MEDIUM
00:36.8,16,17,1.90,12.72,MEDIUM
00:36.8,16,7,1.99,12.60,MEDIUM
00:36.8,20,5,1.14,29.25,MEDIUM
00:36.8,10,12,0.69,29.05,HIGH
00:36.8,16,17,1.99,12.26,MEDIUM
00:36.8,16,7,2.05,12.09,LOW
00:36.8,20,5,1.03,26.71,MEDIUM
00:37.0,10,12,0.58,28.17,HIGH
00:37.0,16,17,2.10,11.84,LOW
00:37.0,16,7,2.13,11.62,LOW
00:37.0,20,5,0.94,24.18,HIGH
00:37.1,10,12,0.47,27.45,HIGH
00:37.1,16,17,2.28,11.59,LOW
00:37.1,16,7,2.24,11.20,LOW
00:37.1,20,5,0.84,21.65,HIGH
00:37.2,10,12,0.35,26.90,HIGH
00:37.2,16,17,2.53,11.41,LOW
00:37.2,16,7,2.39,10.83,LOW
00:37.2,20,5,0.74,19.13,HIGH
00:37.3,10,12,0.24,26.51,HIGH
00:37.3,16,17,2.75,11.30,LOW
00:37.3,16,7,2.58,10.49,LOW
00:37.3,20,5,0.64,16.62,HIGH
00:37.3,10,12,0.11,26.30,HIGH
00:37.3,16,7,2.84,10.20,LOW
00:37.3,20,5,0.54,14.12,HIGH
00:37.5,17,7,2.94,12.01,LOW
00:37.5,20,5,0.45,11.69,HIGH
00:37.6,15,17,2.69,18.56,LOW
00:37.6,17,7,2.58,12.23,LOW
00:37.6,20,5,0.36,9.34,HIGH
00:37.7,15,17,2.29,17.54,LOW
00:37.7,16,17,1.85,11.84,MEDIUM
00:37.7,17,7,2.15,12.52,LOW
00:37.7,20,5,0.26,7.11,HIGH
00:37.8,15,17,1.94,16.54,MEDIUM
00:37.8,17,7,1.52,12.81,MEDIUM
00:37.8,20,5,0.17,5.10,HIGH
00:37.8,15,17,1.68,15.57,MEDIUM
00:37.8,17,7,0.79,13.09,HIGH
00:37.8,20,5,0.07,3.60,HIGH
00:37.8,26,4,1.35,29.49,MEDIUM
00:38.0,15,17,1.44,14.59,MEDIUM
00:38.0,26,4,1.26,27.37,MEDIUM
00:38.1,15,17,1.25,13.54,MEDIUM
00:38.1,26,4,1.14,25.21,MEDIUM
00:38.2,15,16,2.92,22.41,LOW
00:38.2,15,17,1.05,12.45,MEDIUM
00:38.2,26,4,1.03,23.03,MEDIUM
00:38.3,15,16,2.75,21.67,LOW
00:38.3,15,17,0.90,11.34,HIGH
00:38.3,26,4,0.93,20.83,HIGH
00:38.4,15,16,2.56,20.91,LOW
00:38.4,15,17,0.76,10.19,HIGH
00:38.4,26,4,0.82,18.64,HIGH
00:38.5,12,21,1.46,29.59,MEDIUM
00:38.5,15,16,2.41,20.14,LOW
00:38.5,15,17,0.64,9.02,HIGH
00:38.5,15,7,2.97,23.93,LOW
00:38.5,26,4,0.73,16.47,HIGH
00:38.6,12,21,1.34,27.57,MEDIUM
00:38.6,15,16,2.27,19.36,LOW
00:38.6,15,17,0.53,7.84,HIGH
00:38.6,15,7,2.82,23.12,LOW
00:38.6,26,4,0.64,14.34,HIGH
00:38.7,12,21,1.22,25.50,MEDIUM
00:38.7,15,16,2.10,18.56,LOW
00:38.7,15,17,0.42,6.65,HIGH
00:38.7,15,7,2.63,22.28,LOW
00:38.7,26,4,0.55,12.25,HIGH
00:38.8,12,21,1.10,23.42,MEDIUM
00:38.8,15,16,1.95,17.74,MEDIUM
00:38.8,15,17,0.31,5.49,HIGH
00:38.8,15,7,2.48,21.43,LOW
00:38.8,25,8,1.11,27.87,MEDIUM
00:38.8,26,4,0.46,10.22,HIGH
00:38.9,12,21,0.99,21.31,HIGH
00:38.9,15,16,1.81,16.92,MEDIUM
00:38.9,15,17,0.21,4.42,HIGH
00:38.9,15,7,2.32,20.56,LOW
00:38.9,22,9,0.84,29.37,HIGH
00:38.9,25,8,1.00,25.38,MEDIUM
00:38.9,26,4,0.36,8.26,HIGH
00:39.0,12,21,0.88,19.19,HIGH
00:39.0,14,20,1.37,28.51,MEDIUM
00:39.0,15,16,1.67,16.07,MEDIUM
00:39.0,15,17,0.11,3.58,HIGH
00:39.0,15,7,2.17,19.66,LOW
00:39.0,22,9,0.74,28.49,HIGH
00:39.0,25,8,0.90,22.89,HIGH
00:39.0,26,4,0.27,6.40,HIGH
00:39.1,12,21,0.77,17.05,HIGH
00:39.1,14,20,1.30,26.52,MEDIUM
00:39.1,15,16,1.53,15.21,MEDIUM
00:39.1,15,17,0.01,3.20,HIGH
00:39.1,15,7,2.01,18.75,LOW
00:39.1,22,9,0.64,27.71,HIGH
00:39.1,25,8,0.81,20.43,HIGH
00:39.1,26,4,0.17,4.74,HIGH
00:39.1,3,39,1.98,25.65,MEDIUM
00:39.2,12,21,0.67,14.91,HIGH
00:39.2,14,20,1.20,24.53,MEDIUM
00:39.2,15,16,1.39,14.34,MEDIUM
00:39.2,15,7,1.87,17.81,MEDIUM
00:39.2,22,9,0.52,27.06,HIGH
00:39.2,25,8,0.71,17.96,HIGH
00:39.2,26,4,0.07,3.53,HIGH
00:39.2,3,39,1.93,24.79,MEDIUM
00:39.3,10,5,1.03,27.49,MEDIUM
00:39.3,14,20,1.09,22.54,MEDIUM
00:39.3,15,16,1.26,13.46,MEDIUM
00:39.3,15,7,1.73,16.86,MEDIUM
00:39.3,22,9,0.41,26.55,HIGH
00:39.3,25,8,0.61,15.50,HIGH
00:39.3,3,39,1.88,24.00,MEDIUM
00:39.4,10,5,0.93,24.86,HIGH
00:39.4,14,20,1.00,20.59,HIGH
00:39.4,15,16,1.13,12.57,MEDIUM
00:39.4,15,7,1.58,15.88,MEDIUM
00:39.4,22,9,0.29,26.18,HIGH
00:39.4,25,8,0.51,13.07,HIGH
00:39.4,3,39,1.83,23.27,MEDIUM
00:39.5,10,5,0.83,22.24,HIGH
00:39.5,14,20,0.90,18.76,HIGH
00:39.5,15,16,1.01,11.68,MEDIUM
